Event,Ano,Total_Autoras,Total_Autores_Masculinos,Primeiras_Autoras,Total_Autores,Primeiros_Autores_Masculinos,Total_Artigos,Proporcao_Autoras,Proporcao_Primeiras_Autoras,Media_Autoras_Lideranca_Feminina,Media_Autoras_Lideranca_Masculina
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2014,0000",106,123,34,240,37,71,"0,4417","0,4789","2,0294","1,0000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2015,0000",108,110,35,233,32,67,"0,4635","0,5224","2,0000","1,1875"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2016,0000",176,196,48,393,55,103,"0,4478","0,4660","2,1042","1,3636"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2017,0000",206,219,64,443,69,133,"0,4650","0,4812","2,1250","1,0145"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2018,0000",139,157,36,311,42,78,"0,4469","0,4615","2,6667","1,0238"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2019,0000",300,357,98,711,99,197,"0,4219","0,4975","2,1122","0,9394"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2020,0000",84,65,24,156,21,45,"0,5385","0,5333","2,6250","1,0000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2022,0000",60,55,15,122,18,33,"0,4918","0,4545","2,4000","1,3333"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2023,0000",230,216,61,479,70,131,"0,4802","0,4656","2,3279","1,2571"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2024,0000",118,94,32,228,29,61,"0,5175","0,5246","2,5625","1,2414"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING AT SCHOOL (WIE),"2025,0000",131,107,32,255,28,60,"0,5137","0,5333","3,0000","1,2500"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2008,0000",26,53,11,81,18,29,"0,3210","0,3793","1,5455","0,5000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2009,0000",34,38,11,75,15,26,"0,4533","0,4231","1,9091","0,8667"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2010,0000",28,56,10,85,14,24,"0,3294","0,4167","1,6000","0,8571"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2011,0000",22,51,7,76,15,22,"0,2895","0,3182","2,2857","0,4000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2012,0000",41,49,12,97,20,32,"0,4227","0,3750","2,0833","0,8000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2013,0000",44,82,13,140,29,42,"0,3143","0,3095","1,5385","0,8276"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2014,0000",63,90,16,163,27,43,"0,3865","0,3721","2,5000","0,8519"
